Carimbo de data/hora,otica,Data,servicos,valor
28/02/2023 14:56:17,estilo-visao,28/02/0023,1 conserto,16
28/02/2023 15:09:15,otica-teffe,28/02/0023,1 conserto,16
28/02/2023 15:17:30,outlet-dos-oculos,28/02/0023,1 conserto,16
28/02/2023 15:46:53,preco-pop-fazenda,28/02/0023,1 mola,20
28/02/2023 16:08:04,exame-visao,28/02/0023,1 solda,16
28/02/2023 16:47:13,klim-otica,28/02/0023,1 ponteira,12
28/02/2023 17:38:53,otica-ampla-visao,28/02/0023,1 solda,16
28/02/2023 17:51:39,outlet-dos-oculos,28/02/0023,2 consertos,32
28/02/2023 18:31:47,otica-perfil,28/02/0023,1 ajuste + 1 plaqueta,14
28/02/2023 18:42:05,parque-otica,28/02/0023,1 mola,20
28/02/2023 18:56:51,outlet-dos-oculos,28/02/0023,1 conserto + 1 ajuste,26
28/02/2023 19:34:54,otica-malosti,28/02/0023,1 solda + 1 peça + 1 paraf + 2 ajustes,40
28/02/2023 17:51:39,otica-ipanema,04/02/0023,1 conserto,16
28/02/2023 17:51:39,otica-ipanema,08/02/0023,1 ajuste + peça,16
28/02/2023 18:31:47,otica-ipanema,14/02/0023,1 par de haste,28
28/02/2023 18:42:05,otica-ipanema,22/02/0023,1 solda + 1peça,18
28/02/2023 18:56:51,otica-ipanema,24/02/0023,1 ajuste,5
28/02/2023 17:51:39,otica-viena,02/02/0023,os 460 1 solda,16
28/02/2023 17:51:39,otica-viena,16/02/0023,os 468 1 solda,16
28/02/2023 18:31:47,otica-viena,22/02/0023,os 469 1 conserto,16
28/02/2023 18:42:05,otica-viena,27/02/0023,os 471 1 mola,20
