Carimbo de data/hora,otica,Data,servicos,valor
26/11/2024 14:20:57,otica-teffe,26/11/2024,1 mola,20
26/11/2024 14:21:08,sao-braz-ecoville,26/11/2024,1 mola,20
26/11/2024 14:34:05,otica-ampla-visao,26/11/2024,1 ajuste,10
26/11/2024 15:24:31,otica-marine,26/11/2024,1 ajuste,10
26/11/2024 16:09:33,preco-pop-fazenda,26/11/2024,1 conserto,16
26/11/2024 17:36:13,otica-perfil,26/11/2024,1 par de haste,35
26/11/2024 17:58:22,otica-visoluz,26/11/2024,1 mola,20
26/11/2024 18:12:15,martini,26/11/2024,1 mola,20
26/11/2024 18:21:34,otica-zonatto,26/11/2024,1 mola,20
26/11/2024 18:40:31,opticolor,26/11/2024,1 mola + 1 par de haste,50
26/11/2024 18:49:44,klim-otica,26/11/2024,1 mola,20
26/11/2024 18:53:23,otica-anita,26/11/2024,1 mola,20
26/11/2024 18:57:49,preco-popular-duda-loja3,26/11/2024,2 soldas + 1 peça,34
27/11/2024 08:05:55,otica-ipanema,26/11/2024,1 ajuste,10
27/11/2024 10:53:57,otica-sao-braz,27/11/2024,1 conserto,16
27/11/2024 11:09:58,outlet-dos-oculos,27/11/2024,2 consertos,32
27/11/2024 14:11:37,otica-visiolux,27/11/2024,1 ajuste,10
27/11/2024 14:15:29,opticolor,27/11/2024,1 mola,20
27/11/2024 15:26:38,preco-pop-fazenda,27/11/2024,1 mola + 1 ajuste,30
27/11/2024 15:52:15,otica-ampla-visao,27/11/2024,1 solda,16
27/11/2024 16:01:02,otica-zonatto,27/11/2024,1 mola,20
27/11/2024 18:58:49,otica-visiolux,27/11/2024,2 molas,40
27/11/2024 19:07:13,otica-teffe,27/11/2024,1 mola,20
28/11/2024 10:09:53,outlet-dos-oculos,28/11/2024,1 ajuste + 1 mola,30
28/11/2024 14:18:21,otica-visiolux,28/11/2024,1 conserto,16
28/11/2024 14:56:02,otica-perfil,28/11/2024,2 consertos,32
28/11/2024 15:07:12,estilo-visao,28/11/2024,1 conserto,16
28/11/2024 18:45:54,martini,28/11/2024,1 mola,20
28/11/2024 19:04:55,otica-visiolux,28/11/2024,1 mola + 1 ajuste,30
28/11/2024 19:18:24,otica-sao-braz,28/11/2024,1 mola,20
28/11/2024 19:18:34,scarpim,28/11/2024,1 mola,20
28/11/2024 19:28:19,otica-ipanema,28/11/2024,1 mola,20
28/11/2024 19:31:43,otica-marine,28/11/2024,1 mola,20
28/11/2024 19:34:32,otica-anita,28/11/2024,1 conserto,16
29/11/2024 09:44:46,outlet-dos-oculos,29/11/2024,1 ajuste + 1 conserto,26
29/11/2024 14:29:23,preco-popular-cic,29/11/2024,1 mola,20
29/11/2024 14:35:58,sao-braz-ecoville,29/11/2024,1 mola,20
29/11/2024 14:46:08,preco-popular-cic,29/11/2024,1 solda,16
29/11/2024 15:45:04,otica-teffe,29/11/2024,1 mola,20
29/11/2024 16:15:48,outlet-dos-oculos,29/11/2024,1 ajuste,10
29/11/2024 16:41:37,otica-ampla-visao,29/11/2024,1 mola,20
29/11/2024 19:12:59,vista-alegre,29/11/2024,1 mola,20
30/11/2024 08:24:44,otica-visoluz,29/11/2024,1 ponte anatomica,12
30/11/2024 09:16:45,otica-perfil,30/11/2024,1 solda,16
30/11/2024 10:00:47,otica-marine,30/11/2024,1 ajuste,10
30/11/2024 19:26:06,otica-perfil,30/11/2024,1 solda,16
